iter	MAE
0	0.9757896861
1	0.9587092249
2	0.9420291452
3	0.9257625142
4	0.9098238213
5	0.8944842682
6	0.8796802288
7	0.864936312
8	0.8503200142
9	0.8365066584
10	0.822582929
11	0.8093257299
12	0.7959137055
13	0.7833245123
14	0.7705175931
15	0.7584123835
16	0.7464860449
17	0.7350666226
18	0.7236382426
19	0.712637031
20	0.7018486829
21	0.6912440286
22	0.6806566689
23	0.6706271247
24	0.6603724504
25	0.6508791745
26	0.6408974051
27	0.6316898772
28	0.6221686884
29	0.6130655276
30	0.604573759
31	0.5965472896
32	0.5882329277
33	0.579927292
34	0.5716370214
35	0.5636771628
36	0.5564827519
37	0.5487551866
38	0.5411293358
39	0.5337655332
40	0.5264628457
41	0.5193628227
42	0.5126112955
43	0.5059210483
44	0.4995825815
45	0.4930621501
46	0.4865845192
47	0.4804301669
48	0.4742843342
49	0.4684412977
50	0.4627861501
51	0.4569553365
52	0.4513567167
53	0.4459583935
54	0.4405651598
55	0.435280643
56	0.4300903419
57	0.4248554534
58	0.4199148931
59	0.415256921
60	0.4109099718
61	0.4063629339
62	0.401761242
63	0.3972704471
64	0.39272666
65	0.3888049869
66	0.3847728362
67	0.3807993136
68	0.3766167122
69	0.3728911506
70	0.3693081988
71	0.3659201058
72	0.3621816819
73	0.3584602882
74	0.355183717
75	0.3516479374
76	0.3485230711
77	0.3453391109
78	0.341949495
79	0.338737025
80	0.3355137199
81	0.3326783455
82	0.329812903
83	0.3268896422
84	0.3238038524
85	0.3212273792
86	0.3183886185
87	0.3158135231
88	0.3133057025
89	0.3105822598
90	0.3081236451
91	0.3057739313
92	0.3033543619
93	0.300880077
94	0.298718585
95	0.2963796969
96	0.2941519226
97	0.2920716104
98	0.289955656
99	0.2878888726
100	0.2858388249
101	0.2839915659
102	0.2818471463
103	0.2800815221
104	0.2781379589
105	0.2763151574
106	0.2742688124
107	0.2723188274
108	0.2703965184
109	0.2685753599
110	0.2669105888
111	0.2652704953
112	0.2635766609
113	0.2617973087
114	0.2601429982
115	0.2584595687
116	0.256833038
117	0.2552508238
118	0.2537747243
119	0.252434899
120	0.2509634754
121	0.2494646122
122	0.2480394232
123	0.2467023148
124	0.2453886
125	0.244096024
126	0.2428030057
127	0.2415857166
128	0.2404502238
129	0.2391443951
130	0.2379221139
131	0.2367091277
132	0.23562058
133	0.2345169818
134	0.2334302206
135	0.2325471716
136	0.2315191956
137	0.2304823136
138	0.2295106964
139	0.2285618595
140	0.227631464
141	0.2265600324
142	0.2256867246
143	0.2248316721
144	0.2239888248
145	0.2231254499
146	0.2224668198
147	0.2216078222
148	0.2207180124
149	0.2199159541
150	0.219040213
151	0.2182452103
152	0.2175136852
153	0.2167968749
154	0.2161194909
155	0.2152361788
156	0.2143754504
157	0.2136150835
158	0.2129004034
159	0.2123038801
160	0.2114800823
161	0.2107627598
162	0.2101006209
163	0.2094157621
164	0.2087099455
165	0.2080514172
166	0.2073733767
167	0.2066963837
168	0.2060671345
169	0.2055260723
170	0.2049679895
171	0.2044020137
172	0.2038785844
173	0.2032421181
174	0.2026276446
175	0.2021286543
176	0.201557021
177	0.2010571219
178	0.2005579362
179	0.2000613407
180	0.1995833405
181	0.199126215
182	0.1986469694
183	0.1981463254
184	0.197680396
185	0.1972656354
186	0.196787402
187	0.1963746077
188	0.1959873558
189	0.1956031347
190	0.1951824433
