iter	Passed	Remaining
0	32	16395
1	63	15691
2	94	15687
3	129	16013
4	167	16623
5	204	16812
6	238	16763
7	272	16730
8	302	16525
9	333	16345
10	365	16241
11	396	16116
12	433	16235
13	466	16190
14	501	16227
15	535	16204
16	565	16063
17	598	16020
18	632	16016
19	665	15966
20	696	15893
21	733	15926
22	770	15970
23	806	15988
24	843	16023
25	875	15953
26	908	15921
27	941	15870
28	974	15833
29	1005	15759
30	1057	16006
31	1090	15946
32	1128	15963
33	1161	15922
34	1196	15895
35	1227	15822
36	1261	15782
37	1296	15763
38	1330	15728
39	1368	15732
40	1405	15735
41	1436	15663
42	1465	15572
43	1497	15523
44	1528	15453
45	1558	15383
46	1588	15309
47	1617	15230
48	1657	15258
49	1692	15233
50	1728	15217
51	1761	15179
52	1793	15128
53	1824	15068
54	1858	15033
55	1895	15026
56	1930	15006
57	1965	14974
58	1994	14907
59	2026	14857
60	2060	14826
61	2091	14778
62	2125	14744
63	2159	14708
64	2187	14642
65	2218	14590
66	2249	14537
67	2278	14473
68	2310	14429
69	2341	14385
70	2374	14347
71	2403	14288
72	2433	14234
73	2464	14186
74	2491	14119
75	2518	14051
76	2545	13981
77	2570	13906
78	2594	13828
79	2621	13762
80	2648	13702
81	2676	13645
82	2703	13583
83	2732	13531
84	2758	13468
85	2783	13399
86	2811	13346
87	2835	13273
88	2860	13209
89	2888	13160
90	2913	13096
91	2945	13061
92	2969	12995
93	2996	12943
94	3021	12880
95	3052	12845
96	3078	12789
97	3101	12723
98	3126	12662
99	3149	12599
100	3173	12537
101	3198	12481
102	3228	12442
103	3254	12390
104	3281	12342
105	3318	12333
106	3347	12293
107	3379	12265
108	3415	12250
109	3451	12237
110	3480	12196
111	3514	12176
112	3548	12154
113	3575	12107
114	3600	12054
115	3630	12017
116	3663	11991
117	3690	11946
118	3720	11910
119	3744	11858
120	3785	11856
121	3811	11809
122	3836	11759
123	3862	11713
124	3888	11664
125	3911	11609
126	3939	11569
127	3968	11533
128	4001	11508
129	4031	11473
130	4058	11432
131	4081	11378
132	4105	11330
133	4130	11281
134	4154	11231
135	4178	11184
136	4200	11129
137	4223	11079
138	4247	11032
139	4273	10989
140	4296	10940
141	4321	10893
142	4346	10850
143	4373	10811
144	4398	10769
145	4420	10719
146	4449	10684
147	4476	10646
148	4507	10618
149	4534	10579
150	4559	10537
151	4587	10503
152	4620	10479
153	4647	10441
154	4672	10399
155	4699	10363
156	4735	10346
157	4760	10304
158	4783	10259
159	4819	10240
160	4855	10223
161	4880	10181
162	4904	10139
163	4929	10099
164	4952	10055
165	4976	10012
166	5000	9971
167	5022	9926
168	5049	9889
169	5071	9844
170	5093	9800
171	5116	9757
172	5146	9728
173	5173	9692
174	5199	9657
175	5222	9613
176	5246	9574
177	5271	9535
178	5295	9497
179	5321	9460
180	5346	9422
181	5367	9379
182	5391	9338
183	5413	9296
184	5434	9253
185	5459	9217
186	5483	9178
187	5506	9138
188	5529	9098
189	5554	9063
190	5582	9031
191	5608	8996
192	5636	8965
193	5664	8933
194	5692	8904
195	5718	8870
196	5749	8842
197	5777	8812
198	5803	8778
199	5826	8739
200	5854	8709
201	5889	8688
202	5911	8649
203	5935	8611
204	5957	8573
205	5980	8535
206	6005	8500
207	6032	8468
208	6059	8437
209	6091	8412
210	6113	8373
211	6139	8340
212	6161	8302
213	6187	8269
214	6213	8237
215	6240	8205
216	6264	8170
217	6286	8132
218	6308	8094
219	6334	8062
220	6360	8030
221	6390	8002
222	6419	7974
223	6458	7957
224	6486	7928
225	6514	7898
226	6540	7866
227	6568	7835
228	6598	7809
229	6628	7781
230	6655	7750
231	6685	7722
232	6718	7699
233	6748	7671
234	6776	7641
235	6806	7614
236	6835	7585
237	6863	7555
238	6884	7518
239	6907	7483
240	6936	7454
241	6966	7427
242	6994	7397
243	7027	7372
244	7055	7342
245	7084	7314
246	7114	7287
247	7144	7259
248	7172	7230
249	7195	7195
250	7218	7161
251	7242	7127
252	7264	7091
253	7286	7056
254	7309	7022
255	7331	6988
256	7361	6960
257	7388	6930
258	7415	6900
259	7442	6869
260	7471	6841
261	7500	6813
262	7525	6781
263	7554	6752
264	7580	6722
265	7606	6691
266	7635	6663
267	7665	6635
268	7697	6610
269	7729	6584
270	7755	6553
271	7785	6525
272	7813	6497
273	7846	6471
274	7873	6441
275	7900	6411
276	7928	6383
277	7952	6350
278	7980	6321
279	8004	6289
280	8030	6258
281	8055	6227
282	8082	6197
283	8109	6167
284	8135	6137
285	8162	6107
286	8192	6080
287	8217	6048
288	8244	6019
289	8272	5990
290	8296	5958
291	8323	5928
292	8354	5902
293	8384	5875
294	8417	5849
295	8445	5820
296	8471	5790
297	8504	5765
298	8544	5743
299	8569	5712
300	8596	5683
301	8624	5654
302	8654	5626
303	8684	5599
304	8710	5569
305	8740	5541
306	8770	5514
307	8797	5484
308	8827	5456
309	8859	5430
310	8897	5407
311	8927	5379
312	8955	5350
313	8985	5322
314	9016	5295
315	9044	5266
316	9076	5239
317	9100	5208
318	9132	5181
319	9157	5150
320	9185	5122
321	9215	5094
322	9244	5065
323	9268	5034
324	9294	5004
325	9316	4972
326	9341	4941
327	9363	4910
328	9385	4878
329	9410	4847
330	9434	4816
331	9459	4786
332	9485	4757
333	9514	4728
334	9541	4699
335	9564	4668
336	9590	4638
337	9612	4607
338	9638	4577
339	9661	4546
340	9689	4517
341	9718	4489
342	9749	4462
343	9780	4435
344	9804	4404
345	9830	4375
346	9855	4345
347	9880	4315
348	9904	4285
349	9933	4257
350	9957	4226
351	9983	4197
352	10010	4168
353	10036	4139
354	10076	4115
355	10099	4085
356	10125	4055
357	10147	4024
358	10171	3995
359	10194	3964
360	10217	3934
361	10240	3903
362	10269	3875
363	10297	3847
364	10320	3817
365	10344	3787
366	10369	3757
367	10396	3729
368	10420	3699
369	10444	3669
370	10467	3639
371	10506	3615
372	10531	3585
373	10552	3555
374	10578	3526
375	10603	3496
376	10625	3466
377	10652	3437
378	10676	3408
379	10700	3379
380	10724	3349
381	10746	3319
382	10769	3290
383	10794	3260
384	10822	3232
385	10850	3204
386	10878	3176
387	10904	3147
388	10929	3118
389	10956	3090
390	10987	3063
391	11014	3034
392	11043	3006
393	11067	2977
394	11095	2949
395	11126	2922
396	11152	2893
397	11179	2865
398	11203	2836
399	11228	2807
400	11254	2778
401	11283	2750
402	11310	2722
403	11335	2693
404	11359	2664
405	11382	2635
406	11408	2606
407	11436	2578
408	11462	2550
409	11489	2522
410	11520	2494
411	11552	2467
412	11581	2439
413	11607	2411
414	11635	2383
415	11662	2354
416	11695	2327
417	11729	2301
418	11760	2273
419	11791	2246
420	11820	2218
421	11846	2189
422	11873	2161
423	11905	2133
424	11933	2105
425	11960	2077
426	11987	2049
427	12018	2021
428	12044	1993
429	12074	1965
430	12102	1937
431	12133	1909
432	12160	1881
433	12187	1853
434	12218	1825
435	12252	1798
436	12282	1770
437	12313	1743
438	12343	1715
439	12378	1687
440	12412	1660
441	12451	1633
442	12486	1606
443	12525	1579
444	12554	1551
445	12586	1523
446	12615	1495
447	12647	1468
448	12677	1439
449	12703	1411
450	12729	1383
451	12758	1354
452	12784	1326
453	12810	1298
454	12838	1269
455	12866	1241
456	12895	1213
457	12924	1185
458	12951	1156
459	12977	1128
460	13004	1100
461	13033	1072
462	13062	1043
463	13090	1015
464	13121	987
465	13148	959
466	13176	931
467	13202	902
468	13229	874
469	13257	846
470	13285	818
471	13310	789
472	13336	761
473	13362	732
474	13393	704
475	13426	676
476	13453	648
477	13480	620
478	13513	592
479	13544	564
480	13568	535
481	13594	507
482	13620	479
